NumeroEstudiante;RUN;Cohorte;Bloqueo;Causal_Bloqueo;Ultima_carga;Fecha_logro;Logro
526884;8929602;2003-01;S;BLOQUEO POR NO INSCRIPCION;2006-02;2006-01;PRIMER AÑO
587098;9835759;2003-01;S;BLOQUEO POR NO INSCRIPCION;2007-02;2007-02;INGRESO
492723;4600560;2008-01;S;SUSPENSION DE ESTUDIOS;-;2008-01;INGRESO
547261;23851062;2009-01;S;BLOQUEO POR NO INSCRIPCION;2009-01;2009-01;INGRESO
462814;18315924;2003-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2005-01;2003-01;INGRESO
609062;23558502;2005-01;N;Sin Bloqueo;2017-01;2017-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
528245;9662953;2012-02;S;SUSPENSION DE ESTUDIOS;2013-01;2012-02;1 SEMESTRE
410822;18995897;2003-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2004-01;2003-01;INGRESO
539026;13533469;2002-01;S;ALUMNO EGRESADO;2008-02;2004-01;SEGUNDO AÑO
567774;10855927;2003-01;S;BLOQUEO POR NO INSCRIPCION;2006-02;2003-01;INGRESO
641738;14286092;2007-01;S;CAMBIO DE PLAN O CARRERA;2008-02;2007-01;PRIMER AÑO
370834;4336600;2007-01;S;ALUMNO EGRESADO;2009-01;2009-01;QUINTO AÑO - EGRESO
612227;15889824;2005-01;N;Sin Bloqueo;2011-01;2011-01;10 SEMESTRE - EGRESO
498771;20999213;2003-01;S;CAMBIO DE PLAN O CARRERA;2004-01;2003-01;INGRESO
558188;15030076;2013-01;S;BLOQUEO POR NO INSCRIPCION;2013-01;2013-01;INGRESO
519409;19337165;2023-01;N;Sin Bloqueo;2023-02;2023-01;1 SEMESTRE
536430;18320921;2014-01;N;Sin Bloqueo;2024-01;2024-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
648093;20463845;2002-01;S;ALUMNO EGRESADO;2006-01;2004-01;SEGUNDO AÑO
549453;9839863;2010-01;N;Sin Bloqueo;2015-02;2015-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
